participant_number,target_word,target_word_pos,position_time_pairs
1,rouillures,4065,"[[-4065, 3.16], [-2537, 12.21], [-2411, 14.3], [-14, 19.08], [-163, 21.87], [-128, 28.8], [-240, 28.8], [-234, 29.36], [-3, 32.17], [2, 33.25], [0, 35.14]]"
1,vestiaires,4780,"[[-4780, 1.88], [-415, 5.6], [-1933, 7.95], [-17, 12.28], [5, 16.8], [1, 17.76], [8, 19.12], [6, 19.5], [7, 20.05], [-22, 25.06], [2, 30.03], [0, 31.9]]"
1,dindon,1466,"[[-1466, 1.33], [2, 8.74], [0, 10.2]]"
1,récurrence,3783,"[[-3783, 1.06], [-3598, 2.48], [90, 6.34], [48, 7.03], [163, 9.38], [-35, 11.99], [-50, 14.45], [-36, 17.65], [-38, 17.99], [1, 26.59], [0, 27.79]]"
1,guerre,2122,"[[0, 3.93]]"
1,galonner,2026,"[[-2026, 1.15], [89, 6.51], [-37, 7.83], [15, 9.6], [18, 10.34], [-2, 13.69]]"
1,dame,1214,"[[0, 4.15]]"
1,raison,3691,"[[-3691, 2.02], [57, 10.35], [-6, 11.4], [-6, 12.58], [0, 13.72], [-1, 14.22], [0, 15.42]]"
1,vulvaires,4883,"[[-4659, 3.78], [-172, 10.6], [-392, 11.11], [-172, 12.58], [-413, 14.73], [-329, 15.2], [-874, 19.75], [-267, 22.16], [-350, 22.55], [-57, 23.31], [-120, 23.58], [-89, 24.08], [-110, 25.74], [-110, 25.74], [-39, 33.61], [-41, 34.22], [4, 39.08], [-3, 41.05], [-3, 41.05], [-1, 41.76], [-2, 42.57], [1, 43.35], [0, 44.57]]"
1,gaspillages,2038,"[[-2038, 2.03], [118, 4.76], [24, 6.48], [-4, 9.68], [-3, 10.09], [-4, 10.23], [0, 11.22], [-4, 11.8], [-1, 12.5], [-9, 13.92], [2, 15.43], [-1, 16.12], [0, 17.32]]"
1,damasquinerie,1213,"[[-1213, 1.18], [127, 3.89], [-20, 5.87], [3, 9.26], [8, 10.26], [-1, 12.16], [0, 13.3]]"
1,voiture,4854,"[[-4854, 1.13], [35, 3.35], [-143, 4.97], [-39, 7.15], [-28, 8.15], [3, 9.57], [-7, 10.6], [2, 12.37], [0, 13.76]]"
